ID,Date,time,cond,condcolor,percentTrialsStay,practiceblock,cannon,driftConc,block,trial,StaySwitch,TAC,hit,angmu,outcome,pred,prev_placementAngle,predT,cannonballs_caught,cannonballs_missed,accPerf,angleup,angledown,outcomeindex,UP,distmean,allASS,blockearnings,picture.wall.stimulusonset.1,shape.responsearea.stimulusonset.1,picture.cannonball.stimulusonset.1,picture.shield_center.stimulusonset.1,picture.shield.stimulusonset.1,shieldsize,total_trialnum,perf,predErr,distMean,catch_miss,changepoint,cond_num,cBal,Irreg,sex,age,oddballProb,predErrMin,predErrNorm,predErrPlus,actRew,rew,UPMin,UPNorm,UPPlus,catchTrial,sigma,oddBall,cp
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,25,1,0,0,229.23440937633495,228.87351498412818,57.761115162530025,249.41208838797752,802,6,3,5.5,75.76111516253002,39.761115162530025,6,168.3490267745525,0,36,2,0,3,0,4,0,36,25,0,171.11239982159816,171.47329421380493,miss,25,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,26,0,1,0,229.23440937633495,233.8362161822281,53.297144969836864,57.761115162530025,735,6,0,5.5,80.79714496983686,25.797144969836864,6,4.463970192693161,0,55,2,0,3,0,4,0,55,26,0,179.46092878760876,175.9372644064981,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,27,1,0,0,248.23496656684085,229.36027278054905,214.23424445525708,53.297144969836864,384,6,1,5.5,219.23424445525708,209.23424445525708,6,160.93709948542022,0,10,2,0,3,0,3,0,10,27,0,15.12602832529197,34.00072211158377,miss,27,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,28,0,1,1,248.23496656684085,249.90680687033614,240.0089136766587,214.23424445525708,467,7,1,5.5,270.0089136766587,210.0089136766587,5,25.77466922140161,0,60,2,0,3,0,3,0,60,28,0.5,9.897893193677447,8.22605289018216,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,29,0,2,0,248.23496656684085,274.11905037904904,239.46417079352588,240.0089136766587,528,7,2,5.5,258.4641707935259,220.46417079352588,6,0.5447428831328125,0,38,2,0,4,0,3,0,38,29,0,34.65487958552316,8.770795773314973,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,30,0,3,0,248.23496656684085,258.8714066515395,305.2175929681927,239.46417079352588,585,7,3,5.5,334.7175929681927,275.7175929681927,6,65.75342217466684,0,59,2,0,3,0,3,0,59,30,0,46.346186316653245,56.982626401351865,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,31,0,4,0,248.23496656684085,285.4375303645144,204.87654892225703,305.2175929681927,531,7,0,5.5,218.87654892225703,190.87654892225703,6,100.34104404593569,0,28,2,0,4,0,3,0,28,31,0,80.56098144225734,43.358417644583824,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,32,1,0,1,185.32289789647862,194.5403406224468,212.56043798115346,204.87654892225703,1009,8,0,5.5,238.06043798115346,187.06043798115346,5,7.683889058896426,0,51,2,0,3,0,4,0,51,32,0.5,18.020097358706664,27.237540084674833,hit,32,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,1
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,33,0,1,0,185.32289789647862,205.25598776367366,307.8510805321207,212.56043798115346,726,8,1,5.5,317.8510805321207,297.8510805321207,6,95.29064255096725,0,20,2,0,3,0,3,0,20,33,0,102.59509276844705,122.52818263564208,miss,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0
5,2021-10-07,11:58:53,CHANGEPOINT,BLUE,0.86,6,2,18.775,1,34,0,2,1,185.32289789647862,182.41136846804685,192.464932842065,307.8510805321207,693,9,1,5.5,215.964932842065,168.964932842065,5,115.38614769005571,0,47,2,0,3,0,4,0,47,34,0.5,10.053564374018151,7.142034945586374,hit,NA,2,2,NA,NA,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0
