ID,Date,time,cond,condcolor,percentTrialsStay,practiceblock,cannon,driftConc,block,trial,StaySwitch,TAC,hit,angmu,outcome,pred,prev_placementAngle,predT,cannonballs_caught,cannonballs_missed,accPerf,angleup,angledown,outcomeindex,UP,distmean,allASS,blockearnings,picture.wall.stimulusonset,shape.responsearea.stimulusonset,picture.cannonball.stimulusonset,picture.shield_center.stimulusonset,picture.shield.stimulusonset,shieldsize,total_trialnum,perf,predErr,distMean,catch_miss,changepoint,cond_num,cBal,Irreg,oddballProb,predErrMin,predErrNorm,predErrPlus,actRew,rew,UPMin,UPNorm,UPPlus,catchTrial,sigma,oddBall,cp,boatType,initiationRTs,memErr,memErrMin,memErrNorm,memErrPlus,outT,timestampOffset,timestampOnset,timestampPrediction,triggers,vola
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,21,0,7,1,338.1896530134114,320.69187249921634,335.2825590889166,342.77656380886856,536,6,3,6.5,4.282559088916628,306.2825590889166,5,7.494004719951931,0,58,2,2,1,2,2,2,2,21,0.5,14.590686589700283,2.9070939244947454,hit,NA,2,2,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,22,1,0,0,211.7608071239108,207.88874243139648,325.304846468766,335.2825590889166,657,6,0,6.5,345.804846468766,304.804846468766,6,9.977712620150612,0,41,2,1,1,1,1,1,1,22,0,117.41610403736954,113.54403934485521,miss,22,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,23,0,1,0,211.7608071239108,218.38731574491507,206.18393187905684,325.304846468766,421,6,1,6.5,209.18393187905684,203.18393187905684,6,119.12091458970917,0,6,2,1,2,1,2,1,1,23,0,12.203383865858228,5.576875244853966,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,24,0,2,1,211.7608071239108,220.91909315859755,220.15599962491933,206.18393187905684,501,7,1,6.5,236.65599962491933,203.65599962491933,5,13.97206774586249,0,33,2,1,1,1,2,1,1,24,0.5,0.7630935336782159,8.395192501008523,hit,NA,2,2,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,25,1,0,0,24.151837505435534,13.820300891796672,228.50353164478446,220.15599962491933,753,7,2,6.5,255.50353164478446,201.50353164478446,6,8.347532019865127,0,54,2,1,1,1,3,1,1,25,0,145.31676924701222,155.64830586065108,miss,25,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,26,0,1,0,24.151837505435534,30.406739619165712,12.590382945535145,228.50353164478446,824,7,3,6.5,22.590382945535147,2.5903829455351453,6,144.08685130075068,0,20,2,2,1,2,1,2,2,26,0,17.816356673630565,11.561454559900389,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,27,0,2,0,24.151837505435534,5.2777357032396885,30.866809451137076,12.590382945535145,683,7,0,6.5,40.36680945113707,21.366809451137076,6,18.276426505601933,0,19,2,1,1,1,2,1,1,27,0,25.589073747897388,6.714971945701542,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,28,0,3,0,24.151837505435534,30.667390108547686,6.2772984895975545,30.866809451137076,729,7,1,6.5,17.777298489597555,354.77729848959757,6,24.58951096153952,0,23,2,2,1,2,3,2,2,28,0,24.39009161895013,17.87453901583798,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,29,0,4,1,24.151837505435534,30.27155759620901,41.92254460057563,6.2772984895975545,1842,8,1,6.5,63.92254460057563,19.922544600575627,5,35.64524611097807,0,44,2,2,2,2,1,2,2,29,0.5,11.650987004366616,17.770707095140093,hit,NA,2,2,NA,0.14,NA,NA,NA,0.5,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-10-04,20:52:21,CHANGEPOINT,ORANGE,0.86,6,2,18.775,1,30,0,5,0,24.151837505435534,343.724113204315,38.615836060487545,41.92254460057563,1297,8,2,6.5,57.115836060487545,20.115836060487545,6,3.3067085400880813,0,37,2,1,1,1,4,1,1,30,0,54.89172285617252,14.463998555052012,miss,NA,2,2,NA,0.14,NA,NA,NA,0,0.5,0,0,0,0,18.775,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
