"build","experimentName","subject","date","time","block","StaySwitch","conc","trialnum","outcomeindex","practiceblock","cannon","ang","angmu","cannonballs_caught","cannonballs_missed","r","centsearned","totalearnings"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","318.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","318.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","318.147803473553551612","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","66.9555166410178799197","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","46.9555166410178799197","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","26.9555166410178799197","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","6.9555166410178799197","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","-13.0444833589821200803","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","-11.0444833589821200803","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","-9.0444833589821200803","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","-7.0444833589821200803","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","-5.0444833589821200803","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","-3.0444833589821200803","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","-1.0444833589821200803","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","-1.0444833589821200803","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","358.9555166410178799197","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","5","2","1","0","0","1","0","358.9555166410178799197","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","5","2","1","0","0","1","0","145.1225597651495036189","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","5","2","1","0","0","1","0","165.1225597651495036189","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","5","2","1","0","0","1","0","185.1225597651495036189","0.0500000000000000028","0"
"6.4.2","Cannonball Task","olivia","2021-07-01","18:07:53","0","0","18.7749999999999985789","0","5","2","1","0","0","1","0","205.1225597651495036189","0.0500000000000000028","0"
